Time (s),White pixels,Mean Brightness
211.734000,0.155106,50.196078
212.234000,0.159073,50.196078
212.733000,0.169601,50.196078
213.235000,0.157623,50.196078
213.733000,0.178528,50.196078
214.234000,0.169067,50.196078
214.733000,0.196915,50.196078
215.235000,0.177383,50.196078
215.734000,0.199127,50.196078
216.233000,0.189133,50.196078
216.734000,0.190201,50.196078
217.234000,0.178604,50.196078
217.733000,0.175247,50.196078
218.233000,0.169373,50.196078
218.733000,0.155487,50.196078
219.235000,0.171661,50.196078
219.733000,0.143280,50.196078
220.234000,0.143280,50.196078
220.733000,0.154114,50.196078
221.233000,0.158005,50.196078
221.734000,0.163040,50.196078
222.233000,0.172119,50.196078
222.734000,0.174255,50.196078
223.233000,0.177765,50.196078
223.735000,0.173721,50.196078
224.233000,0.195618,50.392157
224.734000,0.196609,50.196078
225.233000,0.188446,50.392157
225.734000,0.187683,50.196078
226.234000,0.177917,50.196078
226.733000,0.174866,50.196078
227.233000,0.172729,50.196078
227.733000,0.168762,50.196078
228.233000,0.149307,50.196078
228.733000,0.143585,50.196078
229.233000,0.143738,50.196078
229.733000,0.145035,50.196078
230.235000,0.147858,50.196078
230.735000,0.149460,50.196078
231.233000,0.154724,50.196078
231.734000,0.149536,50.392157
232.233000,0.166931,50.196078
232.734000,0.159073,50.196078
233.233000,0.172119,50.196078
233.735000,0.152817,50.196078
234.233000,0.175323,50.196078
234.733000,0.179901,50.196078
235.233000,0.183182,50.196078
235.734000,0.176620,50.196078
236.234000,0.194473,50.196078
236.733000,0.199051,50.392157
237.234000,0.198364,50.392157
237.734000,0.195618,50.196078
238.235000,0.196152,50.196078
238.733000,0.188522,50.196078
239.233000,0.191040,50.196078
239.733000,0.182419,50.196078
240.235000,0.192032,50.196078
240.733000,0.168381,50.196078
241.233000,0.168610,50.196078
241.733000,0.163345,50.196078
242.234000,0.168610,50.196078
242.735000,0.166931,50.196078
243.235000,0.166473,50.196078
243.733000,0.139313,50.196078
244.234000,0.145340,50.196078
244.733000,0.145569,50.196078
245.235000,0.138702,50.196078
245.734000,0.155716,50.196078
246.233000,0.164566,50.196078
246.733000,0.169449,50.196078
247.234000,0.169296,50.196078
247.734000,0.179901,50.392157
248.234000,0.173111,50.392157
248.735000,0.186310,50.196078
249.236000,0.177765,50.196078
249.733000,0.191574,50.196078
250.234000,0.192490,50.196078
250.733000,0.179825,50.392157
251.234000,0.184937,50.392157
251.734000,0.175858,50.196078
252.234000,0.172195,50.196078
252.734000,0.166931,50.392157
253.234000,0.163422,50.196078
253.734000,0.153198,50.196078
